published_at,report_generated_at,captured_at,company,presence_handle,message,post_link,link,link_title,link_description,image,post_type,posted_domain,posted_url,engagement_total,likes,comments,followers,engagement_rate_by_follower,engagement_rate_lift,estimated_impressions,engagement_rate_by_estimated_impression,post_tag_ugc,post_tag_contests
20/02/2025 17:11,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,Moments like this are everything 💕,https://www.instagram.com/reel/DGUAXiCMUxf/,,,,https://d1cdkkfhgor70g.cloudfront.net/DGUAXiCMUxf?postNativeId=18072477622701105,reel,,,146,126,20,17104,0.008536015,3.7813757457344974,4553,0.032066769,0,0
03/05/2025 03:30,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Revolutionizing breastfeeding—introducing the heated wearable breast pump! eufy unveiled the first-ever heated wearable breast pump, designed for moms who need convenience, comfort, and flexibility while pumping. ⭐️🍼",https://www.instagram.com/reel/DJL7r5ANnEW/,,,,https://d1cdkkfhgor70g.cloudfront.net/DJL7r5ANnEW?postNativeId=18400783639102089,reel,,,145,122,23,17104,0.008477549,3.755474231188712,4526,0.032037118868758284,0,0
24/06/2025 19:17,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,Silent sacrifices we make being a mother ❤️ #firsttimemom #postpartum #breastpumps #momlife #breastfeeding #firsttimemommy,https://www.instagram.com/reel/DLTg1auvGEQ/,,,,https://d1cdkkfhgor70g.cloudfront.net/DLTg1auvGEQ?postNativeId=18115324858494707,reel,,,142,138,4,17104,0.008302152,3.6777698266502026,4521,0.031408980314089806,0,0
12/06/2024 05:30,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,A very special moment between mother and baby 💞,https://www.instagram.com/reel/C8HSxh4NhKY/,,,,https://d1cdkkfhgor70g.cloudfront.net/C8HSxh4NhKY?postNativeId=18106200721402553,reel,,,135,134,1,17104,0.007892891,3.4964603607996065,4453,0.030316640467100833,0,0
20/06/2025 22:43,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,What I eat in a day as an oversupplier! #firsttimemom #momadvice #breastpumping #postpartum #pumpingmom,https://www.instagram.com/reel/DLJltnbsf-l/,,,,https://d1cdkkfhgor70g.cloudfront.net/DLJltnbsf-l?postNativeId=18526612786042144,reel,,,134,130,4,17104,0.007834425,3.4705591012668857,4411,0.030378598957152572,0,0
31/01/2025 07:49,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,Wrap up January on a warm note! ☀️🍼 Get $70 OFF the eufy S1 Pro now! 🔥 🔗 Link in bio #eufypump #eufybreastpump #eufyheatedpump,https://www.instagram.com/p/DFfgPybuw_z/,,,,https://d1cdkkfhgor70g.cloudfront.net/DFfgPybuw_z?postNativeId=18311542129206956,photo,,,109,87,22,17104,0.006372778,2.823035147284104,3205,0.034009360374414974,0,0
27/11/2024 14:50,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,Black Friday essentials for new moms: gear up with deals on everything you need for you and baby! 👶 🔗 Link in bio,https://www.instagram.com/p/DC44uxGARDq/,,,,https://d1cdkkfhgor70g.cloudfront.net/DC44uxGARDq?postNativeId=18097873780469654,photo,,,104,91,13,17104,0.006080449,2.693532095156177,2599,0.040015391,0,0
16/06/2025 20:45,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,Setup your eufy breast pump s1 pro! The best part is that it’s heated so you can feel comfortable pumping #eufybaby #momlife #firsttimemom #breastfeeding #breastfeedingtips #breastmilk #momadvice #newmoms #breastfeedingjourney #postpartum,https://www.instagram.com/reel/DK_E_v3xTr8/,,,,https://d1cdkkfhgor70g.cloudfront.net/DK_E_v3xTr8?postNativeId=18018218579664689,reel,,,103,82,21,17104,0.006021983,2.667631554276372,3806,0.027062532842879662,0,0
19/03/2025 12:54,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,"Designed for comfort, convenience, and privacy—experience the eufy Wearable Breast Pump S1 Pro with HeatFlow technology for a gentle skin-like experience. Link in Bio!",https://www.instagram.com/p/DHZEfTLSHJo/,,,,https://d1cdkkfhgor70g.cloudfront.net/DHZEfTLSHJo?postNativeId=18294861118175302,photo,,,100,80,20,17104,0.005846586,2.589930070727957,2902,0.034458994,0,0
16/06/2025 17:31,02/09/2025 08:09,02/09/2025 08:04,eufy Baby,eufybaby,Using the eufy breast pumps s1 pro! The heated pumps has helped me so much in producing more! #pumping #breastfeeding #postpartum #breastpump #boostmilksupply #eufy #eufybaby #mom #momlife #firsttimemom #momtip #eufys1pro,https://www.instagram.com/reel/DK-ukK1SW7_/,,,,https://d1cdkkfhgor70g.cloudfront.net/DK-ukK1SW7_?postNativeId=17972915615857709,reel,,,96,88,8,17104,0.005612722,2.486328417,3653,0.026279770052012045,0,0
